Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,
Definition,6,record,timestamp,1,,heart_rate,1,,cadence,1,,distance,1,,speed,1,,power,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241857",s,heart_rate,"87",bpm,cadence,"0",rpm,distance,"4.0",m,speed,"2.016",m/s,power,"23",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241858",s,heart_rate,"88",bpm,cadence,"0",rpm,distance,"7.0",m,speed,"2.016",m/s,power,"23",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241859",s,heart_rate,"89",bpm,cadence,"54",rpm,distance,"10.99",m,speed,"2.923",m/s,power,"70",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241861",s,heart_rate,"90",bpm,cadence,"23",rpm,distance,"17.0",m,speed,"2.923",m/s,power,"70",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241864",s,heart_rate,"91",bpm,cadence,"23",rpm,distance,"25.0",m,speed,"2.793",m/s,power,"61",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241868",s,heart_rate,"92",bpm,cadence,"21",rpm,distance,"35.0",m,speed,"3.225",m/s,power,"94",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241869",s,heart_rate,"93",bpm,cadence,"23",rpm,distance,"42.99",m,speed,"3.225",m/s,power,"94",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241872",s,heart_rate,"95",bpm,cadence,"24",rpm,distance,"51.99",m,speed,"3.311",m/s,power,"102",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241874",s,heart_rate,"96",bpm,cadence,"24",rpm,distance,"61.99",m,speed,"3.378",m/s,power,"108",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241877",s,heart_rate,"98",bpm,cadence,"24",rpm,distance,"70.99",m,speed,"3.424",m/s,power,"112",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241879",s,heart_rate,"99",bpm,cadence,"24",rpm,distance,"74.99",m,speed,"3.472",m/s,power,"117",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241881",s,heart_rate,"99",bpm,cadence,"24",rpm,distance,"83.0",m,speed,"3.546",m/s,power,"125",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241884",s,heart_rate,"101",bpm,cadence,"25",rpm,distance,"95.0",m,speed,"3.597",m/s,power,"130",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241886",s,heart_rate,"101",bpm,cadence,"25",rpm,distance,"99.0",m,speed,"3.597",m/s,power,"130",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241890",s,heart_rate,"103",bpm,cadence,"26",rpm,distance,"116.0",m,speed,"3.623",m/s,power,"133",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241891",s,heart_rate,"104",bpm,cadence,"25",rpm,distance,"119.99",m,speed,"3.597",m/s,power,"130",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241894",s,heart_rate,"105",bpm,cadence,"25",rpm,distance,"128.0",m,speed,"3.496",m/s,power,"120",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241896",s,heart_rate,"105",bpm,cadence,"24",rpm,distance,"136.0",m,speed,"3.472",m/s,power,"117",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241898",s,heart_rate,"106",bpm,cadence,"24",rpm,distance,"143.99",m,speed,"3.472",m/s,power,"117",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241902",s,heart_rate,"107",bpm,cadence,"22",rpm,distance,"155.99",m,speed,"3.424",m/s,power,"112",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241905",s,heart_rate,"107",bpm,cadence,"22",rpm,distance,"168.0",m,speed,"3.731",m/s,power,"145",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241908",s,heart_rate,"107",bpm,cadence,"92",rpm,distance,"174.99",m,speed,"3.731",m/s,power,"145",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241911",s,heart_rate,"108",bpm,cadence,"20",rpm,distance,"187.0",m,speed,"3.401",m/s,power,"110",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241913",s,heart_rate,"108",bpm,cadence,"20",rpm,distance,"195.0",m,speed,"3.401",m/s,power,"110",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241917",s,heart_rate,"109",bpm,cadence,"20",rpm,distance,"206.99",m,speed,"3.424",m/s,power,"112",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241919",s,heart_rate,"110",bpm,cadence,"20",rpm,distance,"215.99",m,speed,"3.424",m/s,power,"112",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241923",s,heart_rate,"111",bpm,cadence,"20",rpm,distance,"227.0",m,speed,"3.472",m/s,power,"117",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241926",s,heart_rate,"111",bpm,cadence,"20",rpm,distance,"239.99",m,speed,"3.546",m/s,power,"125",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241930",s,heart_rate,"111",bpm,cadence,"21",rpm,distance,"247.99",m,speed,"3.597",m/s,power,"130",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241931",s,heart_rate,"112",bpm,cadence,"21",rpm,distance,"257.0",m,speed,"3.597",m/s,power,"130",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241934",s,heart_rate,"112",bpm,cadence,"22",rpm,distance,"270.0",m,speed,"3.649",m/s,power,"136",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241936",s,heart_rate,"113",bpm,cadence,"22",rpm,distance,"278.0",m,speed,"3.649",m/s,power,"136",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241940",s,heart_rate,"113",bpm,cadence,"19",rpm,distance,"289.99",m,speed,"3.472",m/s,power,"117",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241943",s,heart_rate,"114",bpm,cadence,"19",rpm,distance,"301.99",m,speed,"3.472",m/s,power,"117",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241946",s,heart_rate,"114",bpm,cadence,"19",rpm,distance,"312.99",m,speed,"3.472",m/s,power,"117",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241958",s,heart_rate,"113",bpm,cadence,"58",rpm,distance,"331.0",m,speed,"2.136",m/s,power,"27",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241960",s,heart_rate,"112",bpm,cadence,"21",rpm,distance,"337.0",m,speed,"2.136",m/s,power,"27",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241962",s,heart_rate,"112",bpm,cadence,"21",rpm,distance,"343.99",m,speed,"2.415",m/s,power,"39",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241966",s,heart_rate,"111",bpm,cadence,"23",rpm,distance,"353.99",m,speed,"3.164",m/s,power,"89",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241968",s,heart_rate,"110",bpm,cadence,"23",rpm,distance,"361.99",m,speed,"3.164",m/s,power,"89",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241971",s,heart_rate,"110",bpm,cadence,"23",rpm,distance,"371.0",m,speed,"3.472",m/s,power,"117",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241973",s,heart_rate,"110",bpm,cadence,"23",rpm,distance,"380.0",m,speed,"3.546",m/s,power,"125",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241975",s,heart_rate,"110",bpm,cadence,"23",rpm,distance,"391.0",m,speed,"3.597",m/s,power,"130",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241979",s,heart_rate,"111",bpm,cadence,"25",rpm,distance,"401.0",m,speed,"3.846",m/s,power,"159",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241981",s,heart_rate,"112",bpm,cadence,"25",rpm,distance,"411.99",m,speed,"3.875",m/s,power,"163",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241983",s,heart_rate,"113",bpm,cadence,"25",rpm,distance,"420.99",m,speed,"3.846",m/s,power,"159",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241986",s,heart_rate,"114",bpm,cadence,"26",rpm,distance,"427.99",m,speed,"3.875",m/s,power,"163",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241988",s,heart_rate,"115",bpm,cadence,"26",rpm,distance,"435.99",m,speed,"3.906",m/s,power,"167",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241990",s,heart_rate,"115",bpm,cadence,"27",rpm,distance,"446.0",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241992",s,heart_rate,"116",bpm,cadence,"27",rpm,distance,"455.0",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241994",s,heart_rate,"116",bpm,cadence,"27",rpm,distance,"459.0",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241996",s,heart_rate,"117",bpm,cadence,"28",rpm,distance,"468.0",m,speed,"3.906",m/s,power,"167",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988241998",s,heart_rate,"118",bpm,cadence,"28",rpm,distance,"476.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242001",s,heart_rate,"119",bpm,cadence,"28",rpm,distance,"490.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242003",s,heart_rate,"119",bpm,cadence,"28",rpm,distance,"495.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242004",s,heart_rate,"120",bpm,cadence,"28",rpm,distance,"499.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242004",s,heart_rate,"118",bpm,cadence,"28",rpm,distance,"499.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242004",s,heart_rate,"117",bpm,cadence,"28",rpm,distance,"499.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242004",s,heart_rate,"116",bpm,cadence,"28",rpm,distance,"499.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242004",s,heart_rate,"113",bpm,cadence,"28",rpm,distance,"499.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242004",s,heart_rate,"112",bpm,cadence,"28",rpm,distance,"499.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242004",s,heart_rate,"111",bpm,cadence,"28",rpm,distance,"499.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242004",s,heart_rate,"109",bpm,cadence,"28",rpm,distance,"499.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242004",s,heart_rate,"109",bpm,cadence,"28",rpm,distance,"499.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242004",s,heart_rate,"108",bpm,cadence,"28",rpm,distance,"499.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242004",s,heart_rate,"108",bpm,cadence,"28",rpm,distance,"499.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242004",s,heart_rate,"108",bpm,cadence,"28",rpm,distance,"499.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242004",s,heart_rate,"108",bpm,cadence,"28",rpm,distance,"499.99",m,speed,"3.937",m/s,power,"171",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,lap,timestamp,"988242065",s,start_time,"988242005",,total_elapsed_time,"60.0",s,total_timer_time,"60.0",s,total_distance,"499.99",m,total_cycles,"0",cycles,message_index,"1",,total_calories,"0",kcal,total_fat_calories,"0",kcal,avg_speed,"8.333",m/s,max_speed,"0.0",m/s,avg_power,"0",watts,max_power,"0",watts,total_ascent,"0",m,total_descent,"0",m,event,"0",,event_type,"0",,avg_heart_rate,"0",bpm,max_heart_rate,"0",bpm,avg_cadence,"0",rpm,max_cadence,"0",rpm,intensity,"1",,lap_trigger,"0",,sport,"0",,
Data,5,lap,timestamp,"988242180",s,start_time,"988242065",,total_elapsed_time,"114.7",s,total_timer_time,"114.7",s,total_distance,"499.99",m,total_cycles,"0",cycles,message_index,"2",,total_calories,"0",kcal,total_fat_calories,"0",kcal,avg_speed,"4.359",m/s,max_speed,"0.0",m/s,avg_power,"232",watts,max_power,"0",watts,total_ascent,"0",m,total_descent,"0",m,event,"0",,event_type,"0",,avg_heart_rate,"0",bpm,max_heart_rate,"0",bpm,avg_cadence,"32",rpm,max_cadence,"0",rpm,intensity,"0",,lap_trigger,"0",,sport,"0",,
Data,6,record,timestamp,"988242065",s,heart_rate,"104",bpm,cadence,"0",rpm,distance,"499.99",m,speed,"0.0",m/s,power,"0",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242066",s,heart_rate,"104",bpm,cadence,"0",rpm,distance,"502.99",m,speed,"3.205",m/s,power,"92",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242068",s,heart_rate,"105",bpm,cadence,"27",rpm,distance,"512.0",m,speed,"3.703",m/s,power,"142",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242070",s,heart_rate,"106",bpm,cadence,"27",rpm,distance,"517.0",m,speed,"3.703",m/s,power,"142",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242072",s,heart_rate,"107",bpm,cadence,"33",rpm,distance,"526.0",m,speed,"4.504",m/s,power,"256",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242074",s,heart_rate,"108",bpm,cadence,"30",rpm,distance,"537.0",m,speed,"4.424",m/s,power,"243",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242077",s,heart_rate,"112",bpm,cadence,"30",rpm,distance,"548.0",m,speed,"4.504",m/s,power,"256",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242078",s,heart_rate,"113",bpm,cadence,"30",rpm,distance,"552.0",m,speed,"4.504",m/s,power,"256",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242080",s,heart_rate,"115",bpm,cadence,"29",rpm,distance,"564.99",m,speed,"4.504",m/s,power,"256",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242082",s,heart_rate,"118",bpm,cadence,"32",rpm,distance,"572.99",m,speed,"4.545",m/s,power,"263",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242084",s,heart_rate,"119",bpm,cadence,"32",rpm,distance,"582.99",m,speed,"4.545",m/s,power,"263",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242086",s,heart_rate,"120",bpm,cadence,"31",rpm,distance,"588.99",m,speed,"4.545",m/s,power,"263",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242087",s,heart_rate,"121",bpm,cadence,"31",rpm,distance,"593.99",m,speed,"4.545",m/s,power,"263",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242089",s,heart_rate,"123",bpm,cadence,"33",rpm,distance,"603.99",m,speed,"4.587",m/s,power,"270",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242091",s,heart_rate,"124",bpm,cadence,"31",rpm,distance,"615.99",m,speed,"4.464",m/s,power,"249",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242093",s,heart_rate,"124",bpm,cadence,"31",rpm,distance,"619.99",m,speed,"4.464",m/s,power,"249",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,"988242095",s,heart_rate,"126",bpm,cadence,"32",rpm,distance,"631.99",m,speed,"4.424",m/s,power,"243",watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
